[2026-02-28 12:00:41] [start] message=, session_id=
[2026-03-04 17:43:24] [notification_sent] message=Claude needs your permission to use Bash, session_id=ee700985-0463-4d2a-a47a-4442f38af480
[2026-03-04 17:43:24] [exit] message=Claude needs your permission to use Bash, session_id=ee700985-0463-4d2a-a47a-4442f38af480
[2026-03-04 17:45:12] [start] message=, session_id=
[2026-03-04 17:45:12] [parsed] message=Claude is waiting for your input, session_id=ee700985-0463-4d2a-a47a-4442f38af480
[2026-03-04 17:45:12] [sending_notification] message=Claude is waiting for your input, session_id=ee700985-0463-4d2a-a47a-4442f38af480
[2026-03-04 17:45:16] [notification_sent] message=Claude is waiting for your input, session_id=ee700985-0463-4d2a-a47a-4442f38af480
[2026-03-04 17:45:16] [exit] message=Claude is waiting for your input, session_id=ee700985-0463-4d2a-a47a-4442f38af480
[2026-03-04 17:54:01] [start] message=, session_id=
[2026-03-04 17:54:01] [parsed] message=Claude needs your permission to use Update, session_id=6fddc3ee-540d-4843-8a9f-b78f866dea2c
[2026-03-04 17:54:01] [sending_notification] message=Claude needs your permission to use Update, session_id=6fddc3ee-540d-4843-8a9f-b78f866dea2c
[2026-03-04 17:54:04] [notification_sent] message=Claude needs your permission to use Update, session_id=6fddc3ee-540d-4843-8a9f-b78f866dea2c
[2026-03-04 17:54:04] [exit] message=Claude needs your permission to use Update, session_id=6fddc3ee-540d-4843-8a9f-b78f866dea2c
[2026-03-04 17:55:59] [start] message=, session_id=
[2026-03-04 17:55:59] [parsed] message=Claude is waiting for your input, session_id=6fddc3ee-540d-4843-8a9f-b78f866dea2c
[2026-03-04 17:55:59] [sending_notification] message=Claude is waiting for your input, session_id=6fddc3ee-540d-4843-8a9f-b78f866dea2c
[2026-03-04 17:56:01] [notification_sent] message=Claude is waiting for your input, session_id=6fddc3ee-540d-4843-8a9f-b78f866dea2c
[2026-03-04 17:56:01] [exit] message=Claude is waiting for your input, session_id=6fddc3ee-540d-4843-8a9f-b78f866dea2c
[2026-03-04 17:58:30] [start] message=, session_id=
[2026-03-04 17:58:30] [parsed] message=Claude is waiting for your input, session_id=6fddc3ee-540d-4843-8a9f-b78f866dea2c
[2026-03-04 17:58:30] [sending_notification] message=Claude is waiting for your input, session_id=6fddc3ee-540d-4843-8a9f-b78f866dea2c
[2026-03-04 17:58:33] [notification_sent] message=Claude is waiting for your input, session_id=6fddc3ee-540d-4843-8a9f-b78f866dea2c
[2026-03-04 17:58:33] [exit] message=Claude is waiting for your input, session_id=6fddc3ee-540d-4843-8a9f-b78f866dea2c
